Metagenome,MAG_ID,BGC_ID,class,Predicted_product,lg(TPM),Domain,Phylum,Class,Order,Family,Genus,Species
M24,Aegir_M24_B110,NLMDFIEA_175.region001,RiPP,RiPP-like,2.064713873,Bacteria,Myxococcota,Polyangia,Haliangiales,Haliangiaceae,NORP324,
M24,Aegir_M24_B110,NLMDFIEA_9.region001,NRP,NRPS-like,1.765938108,Bacteria,Myxococcota,Polyangia,Haliangiales,Haliangiaceae,NORP324,
M24,Aegir_M24_B110,NLMDFIEA_168.region001,Terpene,Terpene generic,1.529402503,Bacteria,Myxococcota,Polyangia,Haliangiales,Haliangiaceae,NORP324,
M24,Aegir_M24_B111,PIANMFAJ_110.region001,RiPP,RiPP-like,2.003491553,Bacteria,Pseudomonadota,Gammaproteobacteria,SZUA-229,SZUA-229,GCA-2746365,
M24,Aegir_M24_B116,LFICFLKJ_159.region001,RiPP,RiPP-like,2.649285623,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Sulfurimonadaceae,Sulfurimonas,
M24,Aegir_M24_B118,FAKNGFII_40.region001,Polyketide,PKS-like,1.561305447,Bacteria,Bacteroidota,Bacteroidia,UBA10329,UBA10329,UBA10329,
M24,Aegir_M24_B118,FAKNGFII_144.region001,Other,resorcinol,1.535552166,Bacteria,Bacteroidota,Bacteroidia,UBA10329,UBA10329,UBA10329,
M24,Aegir_M24_B123,FHGAEOEJ_73.region001,Other,arylpolyene,1.571356505,Bacteria,Pseudomonadota,Gammaproteobacteria,CAMYNG01,CAMYNG01,JALUTW01,JALUTW01 sp027021685
M24,Aegir_M24_B127,DHLFLHGA_497.region001,Polyketide,T3PKS,1.572589389,Bacteria,Planctomycetota,GCA-2746535,GCA-2746535,GCA-2746535,GCA-2746535,
M24,Aegir_M24_B128,FDOIAPJH_117.region001,Polyketide,hglE-KS,1.765950004,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Azotimanducaceae,JAHRVQ01,
M24,Aegir_M24_B13,HMPFCKPD_12.region001,RiPP,RiPP-like,2.625402695,Bacteria,Pseudomonadota,Gammaproteobacteria,Beggiatoales,Beggiatoaceae,,
M24,Aegir_M24_B130,KOFGBFOK_7.region001,Other,arylpolyene,2.386573574,Bacteria,Pseudomonadota,Gammaproteobacteria,Methylococcales,Methylomonadaceae,JALSJK01,JALSJK01 sp026989395
M24,Aegir_M24_B130,KOFGBFOK_136.region001,Other,hydrogen-cyanide,1.920042123,Bacteria,Pseudomonadota,Gammaproteobacteria,Methylococcales,Methylomonadaceae,JALSJK01,JALSJK01 sp026989395
M24,Aegir_M24_B131,CIIHKDJI_39.region001,RiPP,redox-cofactor,3.287040383,Bacteria,Pseudomonadota,Gammaproteobacteria,Nitrosococcales,Methylophagaceae,GCA-002733105,
M24,Aegir_M24_B131,CIIHKDJI_51.region001,RiPP,RiPP-like,2.628752334,Bacteria,Pseudomonadota,Gammaproteobacteria,Nitrosococcales,Methylophagaceae,GCA-002733105,
M24,Aegir_M24_B131,CIIHKDJI_89.region001,Terpene,Terpene generic,2.459587983,Bacteria,Pseudomonadota,Gammaproteobacteria,Nitrosococcales,Methylophagaceae,GCA-002733105,
M24,Aegir_M24_B132,BKNNPPBI_130.region001,Hybrid,NRPS-like:T1PKS,2.125447689,Bacteria,Planctomycetota,UBA1135,UBA1135,GCA-002686595,JARGPD01,
M24,Aegir_M24_B132,BKNNPPBI_8.region001,Hybrid,NRPS:T1PKS,1.802265554,Bacteria,Planctomycetota,UBA1135,UBA1135,GCA-002686595,JARGPD01,
M24,Aegir_M24_B17,JECBHHKC_10.region001,RiPP,RiPP-like,1.511578529,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Alteromonadaceae,,
M24,Aegir_M24_B18,BHALFHGL_65.region001,RiPP,RiPP-like,1.9155703,Bacteria,Pseudomonadota,Gammaproteobacteria,DSM-19610,DSM-19610,Thiogranum,
M24,Aegir_M24_B18,BHALFHGL_116.region001,Other,hserlactone,1.519113543,Bacteria,Pseudomonadota,Gammaproteobacteria,DSM-19610,DSM-19610,Thiogranum,
M24,Aegir_M24_B19,FPDLEAHF_55.region001,Other,acyl_amino_acids,2.926260591,Bacteria,Bdellovibrionota,Bacteriovoracia,Bacteriovoracales,Bacteriovoracaceae,,
M24,Aegir_M24_B19,FPDLEAHF_158.region001,Other,acyl_amino_acids,2.192931036,Bacteria,Bdellovibrionota,Bacteriovoracia,Bacteriovoracales,Bacteriovoracaceae,,
M24,Aegir_M24_B19,FPDLEAHF_19.region001,Other,acyl_amino_acids,1.944678167,Bacteria,Bdellovibrionota,Bacteriovoracia,Bacteriovoracales,Bacteriovoracaceae,,
M24,Aegir_M24_B19,FPDLEAHF_54.region001,RiPP,RiPP-like,1.690820186,Bacteria,Bdellovibrionota,Bacteriovoracia,Bacteriovoracales,Bacteriovoracaceae,,
M24,Aegir_M24_B2,AGHCKNLD_459.region001,NRP,NRPS-like,2.486907041,Bacteria,Myxococcota,Polyangia,Polyangiales,SG8-38,JBCCRV01,
M24,Aegir_M24_B2,AGHCKNLD_390.region001,Hybrid,T3PKS:RiPP-like,2.450906603,Bacteria,Myxococcota,Polyangia,Polyangiales,SG8-38,JBCCRV01,
M24,Aegir_M24_B2,AGHCKNLD_341.region001,Other,arylpolyene,2.396688701,Bacteria,Myxococcota,Polyangia,Polyangiales,SG8-38,JBCCRV01,
M24,Aegir_M24_B2,AGHCKNLD_294.region001,NRP,NRPS-like,2.023951748,Bacteria,Myxococcota,Polyangia,Polyangiales,SG8-38,JBCCRV01,
M24,Aegir_M24_B2,AGHCKNLD_385.region001,Terpene,Terpene generic,1.734001596,Bacteria,Myxococcota,Polyangia,Polyangiales,SG8-38,JBCCRV01,
M24,Aegir_M24_B2,AGHCKNLD_664.region001,Terpene,Terpene generic,1.681055013,Bacteria,Myxococcota,Polyangia,Polyangiales,SG8-38,JBCCRV01,
M24,Aegir_M24_B2,AGHCKNLD_356.region001,Terpene,Terpene generic,1.672971366,Bacteria,Myxococcota,Polyangia,Polyangiales,SG8-38,JBCCRV01,
M24,Aegir_M24_B21,LHGLAGHD_27.region001,Other,hserlactone,2.138978956,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,SZUA-100,
M24,Aegir_M24_B21,LHGLAGHD_14.region001,Polyketide,T3PKS,1.470547214,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,SZUA-100,
M24,Aegir_M24_B23,EKPCADKE_145.region001,RiPP,RiPP-like,2.961366965,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Amylibacter,Amylibacter sp024280735
M24,Aegir_M24_B24,FPPHCGEG_1.region001,RiPP,RiPP-like,1.513250579,Bacteria,Pseudomonadota,Gammaproteobacteria,SZUA-152,SZUA-152,SZUA-152,
M24,Aegir_M24_B27,MGMOCMNP_243.region001,NRP,CDPS,4.727870929,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Bernardetiaceae,,
M24,Aegir_M24_B27,MGMOCMNP_146.region001,Polyketide,T1PKS,4.411000584,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Bernardetiaceae,,
M24,Aegir_M24_B27,MGMOCMNP_205.region001,Polyketide,T1PKS,3.087209035,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Bernardetiaceae,,
M24,Aegir_M24_B28,HMICOCJM_92.region001,Terpene,Terpene generic,1.994197888,Bacteria,Pseudomonadota,Gammaproteobacteria,Methylococcales,Methylomonadaceae,Methylomarinum,
M24,Aegir_M24_B29,IMEAMOFF_101.region001,RiPP,RiPP-like,1.988699784,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,GCA-002770795,DRNA01,
M24,Aegir_M24_B29,IMEAMOFF_76.region001,Terpene,Terpene generic,1.531144744,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,GCA-002770795,DRNA01,
M24,Aegir_M24_B31,LKIEJCHL_352.region001,NRP,NRPS-like,3.285060169,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Kangiellaceae,GCA-002733465,
M24,Aegir_M24_B34,OINKMAKN_30.region001,Terpene,Terpene generic,1.708422231,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales,Devosiaceae,DROE01,
M24,Aegir_M24_B36,CFEKOEEO_299.region001,Hybrid,hglE-KS:T1PKS,1.695771185,Bacteria,Planctomycetota,UBA11346,UBA11346,UBA11346,JANQLF01,
M24,Aegir_M24_B36,CFEKOEEO_84.region001,Other,acyl_amino_acids,1.395622574,Bacteria,Planctomycetota,UBA11346,UBA11346,UBA11346,JANQLF01,
M24,Aegir_M24_B4,EAPIMLMG_60.region001,RiPP,RiPP-like,3.534610339,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Sulfurovaceae,Sulfurovum,Sulfurovum sp030949325
M24,Aegir_M24_B4,EAPIMLMG_20.region001,RiPP,RRE-containing,2.944230979,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Sulfurovaceae,Sulfurovum,Sulfurovum sp030949325
M24,Aegir_M24_B42,BCGFPKJE_21.region001,Polyketide,T1PKS,1.350187691,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Oceanicella,
M24,Aegir_M24_B42,BCGFPKJE_33.region001,Hybrid,hserlactone:RiPP-redox-cofactor,1.225761893,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Oceanicella,
M24,Aegir_M24_B42,BCGFPKJE_30.region001,NRP,NRP generic,0.899066112,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Oceanicella,
M24,Aegir_M24_B44,LIEFECIJ_66.region001,Other,arylpolyene,2.734702501,Bacteria,Pseudomonadota,Gammaproteobacteria,Methylococcales,Methylomonadaceae,QPIN01,
M24,Aegir_M24_B44,LIEFECIJ_14.region001,RiPP,RiPP-like,2.468931415,Bacteria,Pseudomonadota,Gammaproteobacteria,Methylococcales,Methylomonadaceae,QPIN01,
M24,Aegir_M24_B44,LIEFECIJ_31.region001,NRP,NRP generic,1.908417312,Bacteria,Pseudomonadota,Gammaproteobacteria,Methylococcales,Methylomonadaceae,QPIN01,
M24,Aegir_M24_B44,LIEFECIJ_5.region001,Other,ectoine,1.533708559,Bacteria,Pseudomonadota,Gammaproteobacteria,Methylococcales,Methylomonadaceae,QPIN01,
M24,Aegir_M24_B45,DPHDEEHI_174.region001,RiPP,RRE-containing,2.525888981,Bacteria,Myxococcota,Bradymonadia,Bradymonadales,Bradymonadaceae,CALJNB01,
M24,Aegir_M24_B45,DPHDEEHI_71.region001,RiPP,RiPP-like,2.425042861,Bacteria,Myxococcota,Bradymonadia,Bradymonadales,Bradymonadaceae,CALJNB01,
M24,Aegir_M24_B45,DPHDEEHI_103.region001,Polyketide,hglE-KS,2.211879181,Bacteria,Myxococcota,Bradymonadia,Bradymonadales,Bradymonadaceae,CALJNB01,
M24,Aegir_M24_B45,DPHDEEHI_191.region001,NRP,NRPS-like,2.168686516,Bacteria,Myxococcota,Bradymonadia,Bradymonadales,Bradymonadaceae,CALJNB01,
M24,Aegir_M24_B45,DPHDEEHI_74.region001,Polyketide,hglE-KS,1.993100712,Bacteria,Myxococcota,Bradymonadia,Bradymonadales,Bradymonadaceae,CALJNB01,
M24,Aegir_M24_B45,DPHDEEHI_89.region001,RiPP,RiPP-like,1.821520324,Bacteria,Myxococcota,Bradymonadia,Bradymonadales,Bradymonadaceae,CALJNB01,
M24,Aegir_M24_B45,DPHDEEHI_146.region001,Other,arylpolyene,1.807905713,Bacteria,Myxococcota,Bradymonadia,Bradymonadales,Bradymonadaceae,CALJNB01,
M24,Aegir_M24_B45,DPHDEEHI_35.region001,NRP,NRPS-like,1.689381727,Bacteria,Myxococcota,Bradymonadia,Bradymonadales,Bradymonadaceae,CALJNB01,
M24,Aegir_M24_B45,DPHDEEHI_9.region001,Polyketide,T1PKS,1.667958843,Bacteria,Myxococcota,Bradymonadia,Bradymonadales,Bradymonadaceae,CALJNB01,
M24,Aegir_M24_B45,DPHDEEHI_44.region001,Hybrid,NRPS-like:hglE-KS,1.50344347,Bacteria,Myxococcota,Bradymonadia,Bradymonadales,Bradymonadaceae,CALJNB01,
M24,Aegir_M24_B45,DPHDEEHI_70.region001,Polyketide,hglE-KS,1.016324996,Bacteria,Myxococcota,Bradymonadia,Bradymonadales,Bradymonadaceae,CALJNB01,
M24,Aegir_M24_B49,MHNLAKHI_132.region001,RiPP,RiPP-like,1.948464543,Bacteria,Pseudomonadota,Gammaproteobacteria,SZUA-152,SZUA-152,SZUA-152,
M24,Aegir_M24_B5,HPFIMPEI_97.region001,RiPP,RiPP-like,1.815718901,Bacteria,Pseudomonadota,Gammaproteobacteria,Methylococcales,Methylomonadaceae,QPIN01,
M24,Aegir_M24_B51,CLBBIEOL_10.region001,Other,acyl_amino_acids,1.246505964,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Cyclobacteriaceae,,
M24,Aegir_M24_B52,JLMBNEBE_99.region001,RiPP,RiPP-like,3.228940634,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Alteromonadaceae,Colwellia,
M24,Aegir_M24_B52,JLMBNEBE_91.region001,Other,hserlactone,3.181772333,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Alteromonadaceae,Colwellia,
M24,Aegir_M24_B52,JLMBNEBE_3.region001,Other,PUFA,2.927669325,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Alteromonadaceae,Colwellia,
M24,Aegir_M24_B53,GFACKNHO_178.region001,RiPP,RRE-containing,1.706218846,Bacteria,Bacteroidota_A,Ignavibacteria,Ignavibacteriales,Melioribacteraceae,GCA-2746605,
M24,Aegir_M24_B55,BKMJBOJD_20.region001,Terpene,Terpene generic,1.6692137,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,NORP23,
M24,Aegir_M24_B55,BKMJBOJD_153.region001,Other,hserlactone,1.299778688,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,NORP23,
M24,Aegir_M24_B58,GNKANFNI_62.region001,RiPP,RiPP-like,4.46505376,Bacteria,Pseudomonadota,Gammaproteobacteria,Methylococcales,Methylomonadaceae,WTBX01,WTBX01 sp030949405
M24,Aegir_M24_B60,NNEBPJHD_42.region001,Other,hserlactone,1.935491257,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,NVTR01,
M24,Aegir_M24_B61,JFGKALPH_60.region001,NRP,CDPS,3.892731334,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Bernardetiaceae,,
M24,Aegir_M24_B61,JFGKALPH_8.region001,Polyketide,T1PKS,3.752392752,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Bernardetiaceae,,
M24,Aegir_M24_B61,JFGKALPH_198.region001,Polyketide,T1PKS,3.26630262,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Bernardetiaceae,,
M24,Aegir_M24_B62,OOCMFLME_373.region001,NRP,NRPS-like,2.605617327,Bacteria,Pseudomonadota,Gammaproteobacteria,Methylococcales,Methylomonadaceae,QPIN01,QPIN01 sp026988195
M24,Aegir_M24_B62,OOCMFLME_400.region001,Other,hserlactone,2.288697918,Bacteria,Pseudomonadota,Gammaproteobacteria,Methylococcales,Methylomonadaceae,QPIN01,QPIN01 sp026988195
M24,Aegir_M24_B62,OOCMFLME_168.region001,Hybrid,NRPS:T1PKS,2.077084944,Bacteria,Pseudomonadota,Gammaproteobacteria,Methylococcales,Methylomonadaceae,QPIN01,QPIN01 sp026988195
M24,Aegir_M24_B66,ABLFJFHB_319.region001,RiPP,RiPP-like,2.896536031,Bacteria,Bdellovibrionota_B,Oligoflexia,Oligoflexales,JAWKNZ01,JAWKNZ01,
M24,Aegir_M24_B66,ABLFJFHB_285.region001,Polyketide,T3PKS,2.467033453,Bacteria,Bdellovibrionota_B,Oligoflexia,Oligoflexales,JAWKNZ01,JAWKNZ01,
M24,Aegir_M24_B66,ABLFJFHB_66.region001,Polyketide,hglE-KS,2.139533911,Bacteria,Bdellovibrionota_B,Oligoflexia,Oligoflexales,JAWKNZ01,JAWKNZ01,
M24,Aegir_M24_B66,ABLFJFHB_55.region001,Other,resorcinol,1.993239883,Bacteria,Bdellovibrionota_B,Oligoflexia,Oligoflexales,JAWKNZ01,JAWKNZ01,
M24,Aegir_M24_B68,BPKPMAHG_11.region001,RiPP,RRE-containing,3.572475086,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Sulfurovaceae,Sulfurovum,
M24,Aegir_M24_B68,BPKPMAHG_91.region001,RiPP,RiPP-like,3.40672466,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Sulfurovaceae,Sulfurovum,
M24,Aegir_M24_B7,LKKEPBNP_44.region001,RiPP,microviridin,2.312236275,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Crocinitomicaceae,Crocinitomix,
M24,Aegir_M24_B7,LKKEPBNP_92.region001,RiPP,lanthipeptide,1.979860104,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Crocinitomicaceae,Crocinitomix,
M24,Aegir_M24_B70,KKGMONJA_202.region001,NRP,NRP generic,3.173621734,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Sulfurimonadaceae,GCA-2733885,
M24,Aegir_M24_B70,KKGMONJA_90.region001,RiPP,RiPP-like,2.717689778,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Sulfurimonadaceae,GCA-2733885,
M24,Aegir_M24_B70,KKGMONJA_205.region001,Other,arylpolyene,2.19612228,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Sulfurimonadaceae,GCA-2733885,
M24,Aegir_M24_B72,AMCEHCFD_148.region001,RiPP,microviridin,2.618469683,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Crocinitomicaceae,Crocinitomix,
M24,Aegir_M24_B72,AMCEHCFD_131.region001,RiPP,lanthipeptide,1.942672185,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Crocinitomicaceae,Crocinitomix,
M24,Aegir_M24_B72,AMCEHCFD_175.region001,Other,resorcinol,1.831676243,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Crocinitomicaceae,Crocinitomix,
M24,Aegir_M24_B72,AMCEHCFD_70.region001,Hybrid,arylpolyene:resorcinol,1.736528762,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Crocinitomicaceae,Crocinitomix,
M24,Aegir_M24_B72,AMCEHCFD_85.region001,Polyketide,T3PKS,1.709290019,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Crocinitomicaceae,Crocinitomix,
M24,Aegir_M24_B72,AMCEHCFD_106.region001,RiPP,lanthipeptide,1.32740421,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Crocinitomicaceae,Crocinitomix,
M24,Aegir_M24_B72,AMCEHCFD_164.region001,NRP,NRP generic,1.060043488,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Crocinitomicaceae,Crocinitomix,
M24,Aegir_M24_B75,NCJJNLBN_70.region001,NRP,NRP generic,5.077013072,Bacteria,Pseudomonadota,Gammaproteobacteria,Methylococcales,Methylomonadaceae,WTBX01,
M24,Aegir_M24_B75,NCJJNLBN_36.region001,Other,arylpolyene,3.67519612,Bacteria,Pseudomonadota,Gammaproteobacteria,Methylococcales,Methylomonadaceae,WTBX01,
M24,Aegir_M24_B75,NCJJNLBN_41.region001,RiPP,RiPP-like,3.598022893,Bacteria,Pseudomonadota,Gammaproteobacteria,Methylococcales,Methylomonadaceae,WTBX01,
M24,Aegir_M24_B75,NCJJNLBN_60.region001,Terpene,Terpene generic,3.51542886,Bacteria,Pseudomonadota,Gammaproteobacteria,Methylococcales,Methylomonadaceae,WTBX01,
M24,Aegir_M24_B75,NCJJNLBN_17.region001,NRP,NRP generic,3.310540723,Bacteria,Pseudomonadota,Gammaproteobacteria,Methylococcales,Methylomonadaceae,WTBX01,
M24,Aegir_M24_B75,NCJJNLBN_5.region001,Other,hserlactone,2.699828188,Bacteria,Pseudomonadota,Gammaproteobacteria,Methylococcales,Methylomonadaceae,WTBX01,
M24,Aegir_M24_B75,NCJJNLBN_30.region001,Other,arylpolyene,2.644462759,Bacteria,Pseudomonadota,Gammaproteobacteria,Methylococcales,Methylomonadaceae,WTBX01,
M24,Aegir_M24_B76,HJAPGIAM_128.region001,Terpene,Terpene generic,2.059397739,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Profundibacter,
M24,Aegir_M24_B76,HJAPGIAM_132.region001,Other,hserlactone,1.935491257,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Profundibacter,
M24,Aegir_M24_B77,OLKFNNDA_53.region001,RiPP,RRE-containing,2.641866889,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Sulfurovaceae,SZUA-451,
M24,Aegir_M24_B77,OLKFNNDA_23.region001,NRP,NRPS-like,2.512895863,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Sulfurovaceae,SZUA-451,
M24,Aegir_M24_B78,PPLLNGHE_239.region001,Other,arylpolyene,1.667731076,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Halieaceae,JBALVT01,
M24,Aegir_M24_B8,ONKHKEEE_33.region001,Other,resorcinol,2.583744066,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Sulfurovaceae,UBA1140,
M24,Aegir_M24_B8,ONKHKEEE_51.region001,Other,arylpolyene,2.309691044,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Sulfurovaceae,UBA1140,
M24,Aegir_M24_B8,ONKHKEEE_135.region001,Other,arylpolyene,1.528802634,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Sulfurovaceae,UBA1140,
M24,Aegir_M24_B80,BELJCDKK_27.region001,Other,betalactone,1.090715734,Bacteria,Actinomycetota,Acidimicrobiia,Acidimicrobiales,Poriferisodalaceae,DRKF01,
M24,Aegir_M24_B86,FFEJCLNM_56.region001,Polyketide,T3PKS,2.725910108,Bacteria,Planctomycetota,JADGBV01,JADGBV01,JADGBV01,,
M24,Aegir_M24_B86,FFEJCLNM_237.region001,Other,acyl_amino_acids,2.355406933,Bacteria,Planctomycetota,JADGBV01,JADGBV01,JADGBV01,,
M24,Aegir_M24_B86,FFEJCLNM_332.region001,Other,acyl_amino_acids,2.011750639,Bacteria,Planctomycetota,JADGBV01,JADGBV01,JADGBV01,,
M24,Aegir_M24_B86,FFEJCLNM_419.region001,Other,acyl_amino_acids,1.920789092,Bacteria,Planctomycetota,JADGBV01,JADGBV01,JADGBV01,,
M24,Aegir_M24_B86,FFEJCLNM_44.region001,RiPP,RRE-containing,1.824287058,Bacteria,Planctomycetota,JADGBV01,JADGBV01,JADGBV01,,
M24,Aegir_M24_B88,OBCMDBHP_2.region001,RiPP,RRE-containing,1.668500268,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Lutimonas,
M24,Aegir_M24_B89,HNEPLFDD_177.region001,Other,hydrogen-cyanide,1.918247865,Bacteria,Pseudomonadota,Gammaproteobacteria,Chromatiales,Sedimenticolaceae,Thiolapillus,
M24,Aegir_M24_B90,PPCPAABK_16.region001,RiPP,RRE-containing,1.544696439,Bacteria,Pseudomonadota,Gammaproteobacteria,UBA6429,Thiohalophilaceae,SZUA-37,
M24,Aegir_M24_B91,BKBAFHKC_15.region001,RiPP,RiPP-like,3.510684428,Bacteria,Pseudomonadota,Gammaproteobacteria,Beggiatoales,Beggiatoaceae,BB2,
M24,Aegir_M24_B91,BKBAFHKC_13.region001,RiPP,RiPP-like,3.496960139,Bacteria,Pseudomonadota,Gammaproteobacteria,Beggiatoales,Beggiatoaceae,BB2,
M24,Aegir_M24_B91,BKBAFHKC_20.region001,Terpene,Terpene generic,3.165467896,Bacteria,Pseudomonadota,Gammaproteobacteria,Beggiatoales,Beggiatoaceae,BB2,
M24,Aegir_M24_B93,BHGFJBKP_40.region001,RiPP,RiPP-like,1.816079229,Bacteria,Pseudomonadota,Gammaproteobacteria,SZUA-229,SZUA-229,S010-25,
M24,Aegir_M24_B94,FBDIKMAG_31.region001,RiPP,RiPP-like,2.373817999,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Azotimanducaceae,JAHRVQ01,
M24,Aegir_M24_B94,FBDIKMAG_101.region001,Polyketide,hglE-KS,1.928646939,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Azotimanducaceae,JAHRVQ01,
M24,Aegir_M24_B95,CEPJKJNM_37.region001,Other,arylpolyene,3.229029262,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Sulfurovaceae,Sulfurovum,
