Metagenome,MAG,BGC,class,Predicted product,Domain,Phylum,Class,Order,Family,Genus,Species,M24 lg(GPM),M25 lg(GPM),M26 lg(GPM),M33 lg(GPM),M36 lg(GPM),M37 lg(GPM),M38 lg(GPM),M39 lg(GPM),M42 lg(GPM)
M24,Aegir_M24_B116,LFICFLKJ_159.region001,RiPP,RiPP-like,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Sulfurimonadaceae,Sulfurimonas,0,2.169901895,0.79642757,0,0,0.840665567,0,1.362988419,0,0
M24,Aegir_M24_B117,CAMPJJDL_203.region001,Other,hserlactone,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,JAAEUB01,0,1.952874159,2.403194272,0,0,0,0,0,1.99536326,2.643433738
M24,Aegir_M24_B118,FAKNGFII_126.region001,RiPP,RRE-containing,Bacteria,Bacteroidota,Bacteroidia,UBA10329,UBA10329,UBA10329,0,1.847474804,0.899969211,0,0.427808667,0.819268471,0,0,0,0
M24,Aegir_M24_B118,FAKNGFII_144.region001,Other,resorcinol,Bacteria,Bacteroidota,Bacteroidia,UBA10329,UBA10329,UBA10329,0,2.275011678,0.506602854,0,0.937532297,0,0,0,0,0
M24,Aegir_M24_B118,FAKNGFII_18.region001,Other,arylpolyene,Bacteria,Bacteroidota,Bacteroidia,UBA10329,UBA10329,UBA10329,0,2.642581541,0,0,1.691562351,0,0,0,0,0
M24,Aegir_M24_B118,FAKNGFII_201.region001,Other,arylpolyene,Bacteria,Bacteroidota,Bacteroidia,UBA10329,UBA10329,UBA10329,0,2.829535194,1.047762408,0,1.806050786,0,0,0,0,0
M24,Aegir_M24_B118,FAKNGFII_274.region001,Terpene,Terpene generic,Bacteria,Bacteroidota,Bacteroidia,UBA10329,UBA10329,UBA10329,0,2.492185013,0,0,0,0,1.164165736,0,0,0
M24,Aegir_M24_B118,FAKNGFII_392.region001,Terpene,Terpene generic,Bacteria,Bacteroidota,Bacteroidia,UBA10329,UBA10329,UBA10329,0,2.247445081,0.558217503,0,1.466268202,0,0,0,0,0
M24,Aegir_M24_B118,FAKNGFII_40.region001,Polyketide,PKS-like,Bacteria,Bacteroidota,Bacteroidia,UBA10329,UBA10329,UBA10329,0,2.054890228,0.231326139,0,1.662255582,0,0,0,0,0
M24,Aegir_M24_B119,DEJCOLOP_193.region001,Polyketide,T3PKS,Bacteria,Planctomycetota,Phycisphaerae,Phycisphaerales,UBA1924,UBA1924,0,0,0,0,0,0,0,0,0,0
M24,Aegir_M24_B12,AMEDOMHJ_171.region001,NRP,NRPS-like,Bacteria,Pseudomonadota,Gammaproteobacteria,SZUA-229,SZUA-229,GCA-2746365,0,2.358460248,0,0,0,0,0,0,0,0
M24,Aegir_M24_B12,AMEDOMHJ_253.region001,RiPP,RiPP-like,Bacteria,Pseudomonadota,Gammaproteobacteria,SZUA-229,SZUA-229,GCA-2746365,0,2.435512858,0.856983578,0,0,0,0,0,0,0
M24,Aegir_M24_B12,AMEDOMHJ_272.region001,NRP,NRP generic,Bacteria,Pseudomonadota,Gammaproteobacteria,SZUA-229,SZUA-229,GCA-2746365,0,3.107926129,0,0,0,0,0,0,0,0
M24,Aegir_M24_B12,AMEDOMHJ_30.region001,Hybrid,NRPS-like:T1PKS,Bacteria,Pseudomonadota,Gammaproteobacteria,SZUA-229,SZUA-229,GCA-2746365,0,2.922943021,0,0,0,0,0,0,0,0
M24,Aegir_M24_B12,AMEDOMHJ_19.region001,RiPP,RiPP-like,Bacteria,Pseudomonadota,Gammaproteobacteria,SZUA-229,SZUA-229,GCA-2746365,0,0,0,0,0,0,0,0,0,0
M24,Aegir_M24_B122,FDEIFABP_83.region001,RiPP,redox-cofactor,Bacteria,Pseudomonadota,Gammaproteobacteria,Methylococcales,Methylomonadaceae,Methyloprofundus,Methyloprofundus sp900128525,0,0,0,0,0,0,0,0,0
M24,Aegir_M24_B122,FDEIFABP_79.region001,RiPP,RiPP-like,Bacteria,Pseudomonadota,Gammaproteobacteria,Methylococcales,Methylomonadaceae,Methyloprofundus,Methyloprofundus sp900128525,0,0,0,0,0,0,0,0,0
M24,Aegir_M24_B122,FDEIFABP_48.region001,Terpene,Terpene generic,Bacteria,Pseudomonadota,Gammaproteobacteria,Methylococcales,Methylomonadaceae,Methyloprofundus,Methyloprofundus sp900128525,0,0,0,0,0,0,0,0,0
M24,Aegir_M24_B123,FHGAEOEJ_16.region001,Terpene,Terpene generic,Bacteria,Pseudomonadota,Gammaproteobacteria,UBA6429,UBA6429,JALUTW01,JALUTW01 sp027021685,2.433609125,1.105179748,0,0,0,0,0,0.367462,0.383750606
M24,Aegir_M24_B123,FHGAEOEJ_67.region001,RiPP,RiPP-like,Bacteria,Pseudomonadota,Gammaproteobacteria,UBA6429,UBA6429,JALUTW01,JALUTW01 sp027021685,2.407877992,0.962141089,0,0,0,0,0,0,2.080957484
M24,Aegir_M24_B123,FHGAEOEJ_73.region001,Other,arylpolyene,Bacteria,Pseudomonadota,Gammaproteobacteria,UBA6429,UBA6429,JALUTW01,JALUTW01 sp027021685,1.840428144,0.680709891,0,0,0,0,0,0,0
M24,Aegir_M24_B124,GBGOCJJP_100.region001,Polyketide,T3PKS,Bacteria,Planctomycetota,UBA1135,UBA1135,GCA-002686595,0,0,0,0,0,0,0,0,0,0,0
M24,Aegir_M24_B124,GBGOCJJP_67.region001,NRP,NRP generic,Bacteria,Planctomycetota,UBA1135,UBA1135,GCA-002686595,0,0,0,0,0,0,0,0,0,0,0
M24,Aegir_M24_B124,GBGOCJJP_54.region001,NRP,NRP generic,Bacteria,Planctomycetota,UBA1135,UBA1135,GCA-002686595,0,0,0,0,0,0,0,0,0,0,0
M24,Aegir_M24_B124,GBGOCJJP_100.region002,Other,resorcinol,Bacteria,Planctomycetota,UBA1135,UBA1135,GCA-002686595,0,0,0,0,0,0,0,0,0,0,0
M24,Aegir_M24_B124,GBGOCJJP_112.region001,Terpene,Terpene generic,Bacteria,Planctomycetota,UBA1135,UBA1135,GCA-002686595,0,0,0,0,0,0,0,0,0,0,0
M24,Aegir_M24_B124,GBGOCJJP_84.region001,RiPP,RiPP-like,Bacteria,Planctomycetota,UBA1135,UBA1135,GCA-002686595,0,0,0,0,0,0,0,0,0,0,0
M24,Aegir_M24_B125,PPEFOLCN_228.region001,RiPP,RiPP-like,Bacteria,Planctomycetota,GCA-002687715,GCA-002687715,DRQF01,S139-23,0,2.13129571,0,0,0,0,0,0,1.361457943,0
M24,Aegir_M24_B125,PPEFOLCN_30.region001,Terpene,Terpene generic,Bacteria,Planctomycetota,GCA-002687715,GCA-002687715,DRQF01,S139-23,0,2.461169445,0.298454897,0,0.428354345,0,0,0.74007701,1.596166888,0
M24,Aegir_M24_B125,PPEFOLCN_686.region001,RiPP,RRE-containing,Bacteria,Planctomycetota,GCA-002687715,GCA-002687715,DRQF01,S139-23,0,1.866598945,0,0,0,0,0,0,1.772868299,0
M24,Aegir_M24_B125,PPEFOLCN_727.region001,RiPP,RiPP-like,Bacteria,Planctomycetota,GCA-002687715,GCA-002687715,DRQF01,S139-23,0,2.486110049,0,0,0,0,0,0.983232079,1.648990259,0
M24,Aegir_M24_B126,IGJKKHJM_13.region001,Other,hserlactone,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,JAJRUE01,0,0,0,0,0,0,0,0,0,0
M24,Aegir_M24_B126,IGJKKHJM_35.region001,Other,hserlactone,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,JAJRUE01,0,0,0,0,0,0,0,0,0,0
M24,Aegir_M24_B126,IGJKKHJM_5.region001,Other,betalactone,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,JAJRUE01,0,0,0,0,0,0,0,0,0,0
M24,Aegir_M24_B126,IGJKKHJM_10.region001,Terpene,Terpene generic,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,JAJRUE01,0,0,0,0,0,0,0,0,0,0
M24,Aegir_M24_B127,DHLFLHGA_165.region001,Other,acyl_amino_acids,Bacteria,Planctomycetota,GCA-2746535,GCA-2746535,GCA-2746535,GCA-2746535,0,2.336962603,0,0,1.543551267,0,1.147246024,0,0.800872808,0
M24,Aegir_M24_B127,DHLFLHGA_182.region001,RiPP,RRE-containing,Bacteria,Planctomycetota,GCA-2746535,GCA-2746535,GCA-2746535,GCA-2746535,0,1.989168998,0,0,0.600537096,0,0,0.736168501,0,0
M24,Aegir_M24_B127,DHLFLHGA_185.region001,Other,acyl_amino_acids,Bacteria,Planctomycetota,GCA-2746535,GCA-2746535,GCA-2746535,GCA-2746535,0,2.762247914,0,0,1.741592797,0,0,2.111307409,1.777065589,0
M24,Aegir_M24_B127,DHLFLHGA_237.region001,Polyketide,T1PKS,Bacteria,Planctomycetota,GCA-2746535,GCA-2746535,GCA-2746535,GCA-2746535,0,3.093793951,0.569669034,0,2.021787776,0,1.722392547,2.305021903,1.978079322,0
M24,Aegir_M24_B127,DHLFLHGA_309.region001,NRP,NRP generic,Bacteria,Planctomycetota,GCA-2746535,GCA-2746535,GCA-2746535,GCA-2746535,0,3.1363528,0,0,2.173852134,0,0,2.347272101,1.836939022,0
M24,Aegir_M24_B127,DHLFLHGA_372.region001,Other,arylpolyene,Bacteria,Planctomycetota,GCA-2746535,GCA-2746535,GCA-2746535,GCA-2746535,0,2.68364556,0,0,1.580249386,0,0,2.141849524,1.381638972,0
M24,Aegir_M24_B127,DHLFLHGA_497.region001,Polyketide,T3PKS,Bacteria,Planctomycetota,GCA-2746535,GCA-2746535,GCA-2746535,GCA-2746535,0,2.015519406,0,0,0.071479533,0,0,1.110200925,0.526081632,0
M24,Aegir_M24_B127,DHLFLHGA_532.region001,Other,acyl_amino_acids,Bacteria,Planctomycetota,GCA-2746535,GCA-2746535,GCA-2746535,GCA-2746535,0,2.69131152,0.566717436,0,1.842744919,0,0,1.873640974,1.519195768,0
M24,Aegir_M24_B127,DHLFLHGA_556.region001,NRP,NRP generic,Bacteria,Planctomycetota,GCA-2746535,GCA-2746535,GCA-2746535,GCA-2746535,0,3.142210408,1.091254994,0,2.198878047,0,1.545008503,2.444921936,2.152877796,0
M24,Aegir_M24_B127,DHLFLHGA_603.region001,RiPP,RiPP-like,Bacteria,Planctomycetota,GCA-2746535,GCA-2746535,GCA-2746535,GCA-2746535,0,2.766473821,0,0,2.064478188,0,0,2.215903861,1.689776514,0
M24,Aegir_M24_B127,DHLFLHGA_651.region001,Other,acyl_amino_acids,Bacteria,Planctomycetota,GCA-2746535,GCA-2746535,GCA-2746535,GCA-2746535,0,2.091837525,0,0,0.958478127,0,0,1.658380963,0.458837717,0
M24,Aegir_M24_B127,DHLFLHGA_661.region001,Other,acyl_amino_acids,Bacteria,Planctomycetota,GCA-2746535,GCA-2746535,GCA-2746535,GCA-2746535,0,2.427550104,0.727598661,0,1.4595581,0,1.482382165,1.868190778,1.232918962,0
M24,Aegir_M24_B127,DHLFLHGA_752.region001,Other,acyl_amino_acids,Bacteria,Planctomycetota,GCA-2746535,GCA-2746535,GCA-2746535,GCA-2746535,0,2.795386406,0.952343964,0,1.32528146,0,0,2.217874817,1.536845511,0
M24,Aegir_M24_B127,DHLFLHGA_798.region001,Other,acyl_amino_acids,Bacteria,Planctomycetota,GCA-2746535,GCA-2746535,GCA-2746535,GCA-2746535,0,2.383107683,0,0,0.744598307,0,0,1.482289704,0,0
M24,Aegir_M24_B127,DHLFLHGA_872.region001,Other,acyl_amino_acids,Bacteria,Planctomycetota,GCA-2746535,GCA-2746535,GCA-2746535,GCA-2746535,0,2.505051881,0,0,1.558779127,0,0,1.937448581,0,0
M24,Aegir_M24_B127,DHLFLHGA_94.region001,Other,acyl_amino_acids,Bacteria,Planctomycetota,GCA-2746535,GCA-2746535,GCA-2746535,GCA-2746535,0,2.238155416,0,0,1.166943925,0,0,0,1.269363506,0
M24,Aegir_M24_B127,DHLFLHGA_374.region001,Other,acyl_amino_acids,Bacteria,Planctomycetota,GCA-2746535,GCA-2746535,GCA-2746535,GCA-2746535,0,0,0,0,0,0,0,0,0,0
M24,Aegir_M24_B127,DHLFLHGA_342.region001,Other,acyl_amino_acids,Bacteria,Planctomycetota,GCA-2746535,GCA-2746535,GCA-2746535,GCA-2746535,0,0,0,0,0,0,0,0,0,0
M24,Aegir_M24_B127,DHLFLHGA_91.region001,Other,acyl_amino_acids,Bacteria,Planctomycetota,GCA-2746535,GCA-2746535,GCA-2746535,GCA-2746535,0,0,0,0,0,0,0,0,0,0
M24,Aegir_M24_B127,DHLFLHGA_910.region001,Other,acyl_amino_acids,Bacteria,Planctomycetota,GCA-2746535,GCA-2746535,GCA-2746535,GCA-2746535,0,0,0,0,0,0,0,0,0,0
M24,Aegir_M24_B127,DHLFLHGA_921.region001,Other,acyl_amino_acids,Bacteria,Planctomycetota,GCA-2746535,GCA-2746535,GCA-2746535,GCA-2746535,0,0,0,0,0,0,0,0,0,0
M24,Aegir_M24_B128,FDOIAPJH_117.region001,Polyketide,hglE-KS,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Azotimanducaceae_A,JAHRVQ01,0,2.913779052,0.737000691,0,2.684795896,0,0.41260295,-0.076649701,-0.234800262,0
M24,Aegir_M24_B128,FDOIAPJH_52.region001,RiPP,RiPP-like,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Azotimanducaceae_A,JAHRVQ01,0,0,0,0,0,0,0,0,0,0
M24,Aegir_M24_B129,NPEJHEFM_93.region001,Other,arylpolyene,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Vicingaceae,GCA-002793235,0,0,0,0,0,0,0,0,0,0
M24,Aegir_M24_B129,NPEJHEFM_91.region001,Hybrid,arylpolyene:resorcinol,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Vicingaceae,GCA-002793235,0,0,0,0,0,0,0,0,0,0
